domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.ansa.it,-0.07311826101249176,0.24015257447329688,0.47032952035661824,0.2055170703358489,286.0
travel.thewom.it,0.1451033897973222,0.22401354214096775,0.51261673940783,0.1773765013331369,93.0
www.ilfattoquotidiano.it,0.021813191311345324,0.19487157730769875,0.41243625196104094,0.20833274897653498,79.0
www.ilgiornale.it,0.022248200994911527,0.2591087129340812,0.442358324241548,0.23248684537011624,76.0
www.repubblica.it,-0.0033497063365484354,0.18420957930179868,0.37529377104377104,0.22666235442766594,57.0
www.tuttomercatoweb.com,0.1244966613890225,0.21976395830306453,0.4434369906071295,0.16683138906832104,36.0
www.ilsole24ore.com,-0.04236861790170612,0.18068091245729395,0.38370766488413544,0.16749126474744558,34.0
tech.everyeye.it,0.13099369796869798,0.2766420082042874,0.4953780266030266,0.18442570060761002,25.0
www.ispazio.net,0.055909134636407364,0.15535212076911611,0.4754075331234422,0.18416142296988483,24.0
www.ilpost.it,-0.004456950456950435,0.32455669944946935,0.5486029341029341,0.16038490633863978,15.0
www.internazionale.it,-0.08898358585858586,0.2991019240869252,0.3035037878787879,0.29578331309943906,12.0
torino.repubblica.it,0.0033411105489027674,0.2212935296575667,0.3970596971570997,0.18011321649778575,11.0
leganerd.com,0.12914598364598365,0.14403170424304165,0.5298367003367004,0.20121637929160724,9.0
www.tuttoandroid.net,0.13610389610389612,0.2598565486433399,0.4777272727272727,0.16667320923797546,5.0
www.infodata.ilsole24ore.com,-0.045,0.18455652551755278,0.37520833333333337,0.1131992159866843,4.0
www.smartworld.it,0.012926136363636376,0.22935944261575764,0.5588162878787879,0.19708144502703445,4.0
cinema.everyeye.it,0.21041666666666667,0.2736393104475711,0.26026785714285716,0.2313516099210817,4.0
www.tomshw.it,0.064229797979798,0.18610205964242507,0.44950937950937947,0.20313229272654107,3.0
www.dissapore.com,0.257037037037037,0.23471898967749996,0.40888888888888886,0.35810199250637664,3.0
bari.repubblica.it,-0.3163194444444444,0.16457124603996942,0.4046296296296296,0.11146932996404774,3.0
www.esa.int,0.0,0.0,0.2,0.28284271247461906,2.0
serial.everyeye.it,0.11287878787878788,0.0996377737126499,0.1582070707070707,0.06660374479358139,2.0
www.minimarketing.it,0.0,1.0,0.0,1.0,1.0
www.webnews.it,0.0,1.0,0.0,1.0,1.0
www.globalresearch.ca,0.0,1.0,0.0,1.0,1.0
www.hwupgrade.it,0.0,1.0,0.0,1.0,1.0
www.gravita-zero.org,0.0,1.0,0.0,1.0,1.0
bologna.repubblica.it,0.0,1.0,0.0,1.0,1.0
www.apogeonline.com,0.0,1.0,0.0,1.0,1.0
questionedistile.gazzetta.it,0.0,1.0,0.0,1.0,1.0
palermo.repubblica.it,0.0,1.0,0.0,1.0,1.0
milano.repubblica.it,0.0,1.0,0.0,1.0,1.0
mac.iphoneitalia.com,0.0,1.0,0.0,1.0,1.0
lavoce.info,0.0,1.0,0.0,1.0,1.0
www.windowsblogitalia.com,0.0,1.0,0.0,1.0,1.0
